product_id,product_name,category,price
1,Synergistic 3rdgeneration conglomeration,Electronics,1348.04
2,Switchable tangible frame,Home,12320.1
3,Robust 24hour monitoring,Fashion,36849.91
4,Ameliorated impactful array,Sports,4438.25
5,Virtual regional definition,Beauty,1685.96
7,Synchronized responsive emulation,Sports,30140.73
8,Customizable background leverage,Sports,10022.0
9,Vision-oriented background focus group,Sports,21034.04
10,Optimized full-range concept,Beauty,29504.36
11,Profound responsive superstructure,Electronics,37964.49
12,Decentralized mission-critical infrastructure,Fashion,34937.16
13,Monitored secondary task-force,Home,13965.78
14,Seamless systemic utilization,Fashion,47864.93
15,Networked optimal budgetary management,Home,5200.29
16,Progressive high-level interface,Electronics,4926.15
17,Multi-lateral tangible utilization,Home,30225.93
18,Reduced bandwidth-monitored time-frame,Electronics,36513.62
19,Intuitive responsive adapter,Sports,6328.83
20,Adaptive empowering forecast,Beauty,4032.13
21,Proactive optimizing application,Home,41487.29
22,Switchable human-resource forecast,Sports,44284.04
23,Decentralized value-added hierarchy,Home,28909.87
24,Streamlined fresh-thinking help-desk,Electronics,2386.64
25,Universal multi-tasking approach,Fashion,38676.11
26,Triple-buffered hybrid projection,Electronics,42780.35
27,Multi-lateral 24hour monitoring,Electronics,19068.3
28,Realigned demand-driven utilization,Beauty,31820.65
29,Multi-tiered regional core,Home,8216.44
30,Cross-platform methodical frame,Home,10554.4
31,Focused foreground workforce,Home,35120.83
32,Multi-layered human-resource open system,Electronics,30495.64
33,Cross-platform holistic contingency,Fashion,26753.58
34,Intuitive bi-directional initiative,Fashion,8253.78
35,Centralized web-enabled core,Beauty,13570.4
36,Inverse needs-based groupware,Sports,11058.8
37,Organic upward-trending system engine,Home,42158.31
38,Ergonomic reciprocal system engine,Electronics,11529.5
39,Public-key mission-critical concept,Electronics,40271.79
40,Automated hybrid architecture,Beauty,13460.27
41,Integrated analyzing array,Fashion,45665.49
42,Public-key 24hour time-frame,Sports,43830.74
43,Enhanced incremental adapter,Home,10710.06
44,Vision-oriented optimizing algorithm,Beauty,19842.03
45,Digitized real-time attitude,Beauty,7229.29
46,Managed asynchronous superstructure,Fashion,12406.71
47,Triple-buffered fresh-thinking open architecture,Sports,26994.97
48,Focused clear-thinking monitoring,Sports,21478.85
49,Managed reciprocal budgetary management,Sports,20030.09
50,Virtual systematic info-mediaries,Fashion,49866.56
51,Multi-layered non-volatile encryption,Fashion,25525.36
52,Balanced tangible product,Electronics,37813.53
53,Devolved upward-trending neural-net,Electronics,7726.78
54,Adaptive well-modulated orchestration,Fashion,39624.76
55,Re-contextualized clear-thinking service-desk,Beauty,29860.81
56,Organic tertiary array,Beauty,19142.8
57,Seamless 24hour service-desk,Beauty,26502.81
58,Innovative 3rdgeneration paradigm,Sports,43052.91
59,Exclusive local neural-net,Electronics,34046.14
60,Future-proofed fault-tolerant challenge,Electronics,34117.35
61,Distributed zero administration hierarchy,Sports,37568.8
62,Upgradable disintermediate secured line,Home,5666.45
63,Ameliorated full-range standardization,Beauty,7992.07
64,Team-oriented system-worthy customer loyalty,Electronics,47695.41
65,Fundamental national adapter,Home,48597.22
66,Ergonomic solution-oriented matrix,Fashion,25433.32
67,Business-focused uniform productivity,Electronics,43538.88
68,Switchable holistic capability,Home,42099.3
69,Centralized analyzing conglomeration,Sports,30487.61
70,Decentralized 3rdgeneration service-desk,Fashion,18758.3
71,Operative fresh-thinking knowledgebase,Fashion,27015.01
72,Balanced user-facing orchestration,Sports,45932.83
73,Optimized 6thgeneration archive,Sports,16275.39
74,Multi-lateral optimizing orchestration,Electronics,5682.2
75,Sharable exuding customer loyalty,Home,43948.22
76,Upgradable maximized collaboration,Home,12048.67
77,Optimized 4thgeneration protocol,Fashion,43912.68
78,Inverse background definition,Electronics,4374.11
79,Compatible reciprocal toolset,Beauty,40819.56
80,Business-focused multimedia complexity,Sports,38315.14
81,Public-key context-sensitive migration,Fashion,33021.57
82,Monitored full-range artificial intelligence,Sports,8339.84
83,Inverse empowering Graphic Interface,Sports,43634.41
84,Enterprise-wide explicit flexibility,Beauty,48221.71
85,Versatile discrete functionalities,Sports,37787.73
86,Front-line national project,Fashion,35676.15
87,Balanced 4thgeneration toolset,Beauty,49757.95
88,Customer-focused asymmetric utilization,Home,21961.19
89,Proactive homogeneous infrastructure,Sports,22629.16
90,De-engineered interactive system engine,Fashion,11312.4
91,Vision-oriented uniform algorithm,Home,1149.61
92,Versatile asymmetric conglomeration,Sports,11582.73
93,Programmable mobile support,Fashion,458.82
94,Networked radical matrix,Electronics,11524.2
95,Organic scalable pricing structure,Electronics,42995.81
96,Ameliorated non-volatile algorithm,Electronics,25756.39
97,Optional object-oriented synergy,Home,33481.99
98,Multi-lateral 4thgeneration model,Fashion,27007.77
99,Advanced mission-critical installation,Sports,28852.96
100,Proactive radical conglomeration,Fashion,39252.51
